"상세영업상태코드","사업장명","시군구명","동리명","설립년도","폐업년도","영업기간"
1,"파리바게뜨(역촌역점)","은평구","대조동",2001,0,21
1,"파리바게뜨","은평구","갈현동",2003,0,19
1,"신라명과(역촌현대점)","은평구","녹번동",2002,0,20
1,"브르망","은평구","불광동",2001,0,21
1,"케洋臼肄복鈞","중랑구","중화동",2005,0,17
1,"뚜레쥬르","중랑구","신내동",2005,0,17
1,"파리바게뜨(우림시장점)","중랑구","망우동",2006,0,16
1,"뚜레쥬르사가정역점","중랑구","면목동",2006,0,16
1,"몽블랑제(신내점)","중랑구","신내동",2006,0,16
1,"파리바게뜨","중랑구","망우동",2006,0,16
1,"파리바게뜨 용마산역점","중랑구","면목동",2007,0,15
1,"파리바게뜨 중화역점","중랑구","중화동",2007,0,15
1,"델리카리","중랑구","면목동",2007,0,15
1,"파리바게뜨 사가정점","중랑구","면목동",2007,0,15
1,"뚜레쥬르용마산역점","중랑구","면목동",2007,0,15
1,"빵나라","중랑구","면목동",2007,0,15
1,"케익하우스 쥬떼므","중랑구","면목동",2007,0,15
1,"던킨도너츠 먹골점","중랑구","묵동",2008,0,14
1,"파리바게뜨 면목역점","중랑구","면목동",2008,0,14
1,"빵이가득한집","성북구","장위동",1995,0,27
1,"빵이가득한집","중랑구","면목동",2008,0,14
1,"파리바게뜨면목중앙점","중랑구","면목동",2008,0,14
1,"몽블랑제 면목점","중랑구","면목동",2008,0,14
1,"우림베이커리","중랑구","망우동",2009,0,13
1,"따끈따끈방이야기","중랑구","면목동",2009,0,13
1,"파리바게뜨종암점","성북구","종암동",1996,0,26
1,"파리바게트","성북구","석관동",1997,0,25
1,"상제리아베이커리","성북구","장위동",1994,0,28
1,"투썸플레이스엔타워점","용산구","용산동2가",2013,0,9
1,"외계인방앗간 문정점","송파구","문정동",2018,0,4
1,"앨리스 베이커리 카페","양천구","목동",2018,0,4
1,"스위트 팔레트 케이크(sweet palette cake)","은평구","대조동",2019,0,3
1,"그리리","강동구","천호동",2018,0,4
